name,sex,year_min,year_max,n_sum,year_pop
Sydney,F,1886,2022,175295,2000
Tara,F,1939,2022,175027,1972
Nora,F,1880,2022,174520,2021
Hailey,F,1963,2022,173385,2003
Molly,F,1880,2022,171579,1991
Roberta,F,1880,2022,171353,1953
Lily,F,1880,2022,170521,2011
Cathy,F,1918,2022,170245,1958
Bessie,F,1880,2022,170098,1916
Cassandra,F,1902,2022,169595,1990
Jessie,F,1880,2022,168986,1918
Annette,F,1880,2022,168797,1960
Laurie,F,1882,2022,166334,1962
Kaitlyn,F,1971,2022,165400,2000
Violet,F,1880,2022,164548,2022
Stacy,F,1892,2022,163589,1971
Jeanette,F,1880,2022,163238,1939
Jeanne,F,1880,2022,163139,1947
Sofia,F,1881,2022,162594,2015
Colleen,F,1901,2022,162543,1964
Chelsea,F,1910,2022,161794,1992
Alma,F,1880,2022,161679,1918
Rosemary,F,1882,2022,159858,1947
Beth,F,1884,2022,159296,1961
Minnie,F,1880,2022,159109,1916
Georgia,F,1880,2022,158996,1947
Agnes,F,1880,2022,158805,1918
Haley,F,1890,2022,158377,2000
Pearl,F,1880,2022,158028,1918
Lillie,F,1880,2022,157651,1919
Lindsey,F,1924,2022,157026,1984
Joann,F,1891,2022,156723,1942
Yvonne,F,1886,2022,155851,1953
Vicki,F,1914,2021,153246,1954
Avery,F,1890,2022,153096,2014
Gina,F,1880,2022,152742,1967
Nellie,F,1880,2022,151043,1918
Daisy,F,1880,2022,149922,1996
Destiny,F,1956,2022,149888,2000
Carla,F,1890,2022,149640,1962
Kelsey,F,1942,2022,149189,1992
Cora,F,1880,2022,148210,2019
Stacey,F,1915,2022,147582,1971
Shelby,F,1913,2022,147463,1991
Jenna,F,1915,2022,147264,1985
Heidi,F,1929,2022,146636,1972
Zoe,F,1880,2022,146588,2012
Willie,F,1880,2022,146176,1919
Terri,F,1922,2022,146045,1959
Vera,F,1880,2022,145260,1918
Sue,F,1880,2022,144501,1947
Maureen,F,1896,2022,144177,1957
Paige,F,1915,2022,144142,2003
Faith,F,1880,2022,143937,2003
Lena,F,1880,2022,142964,1917
Arlene,F,1888,2022,142649,1934
Marian,F,1880,2022,141300,1924
Carmen,F,1881,2022,140499,1960
Wilma,F,1880,2022,139973,1925
Sabrina,F,1916,2022,139969,1997
Constance,F,1880,2022,139573,1950
Addison,F,1980,2022,138951,2007
Joy,F,1885,2022,138527,1957
Mabel,F,1880,2022,138232,1915
Sadie,F,1880,2022,138095,2014
Gabrielle,F,1890,2022,137211,1998
Autumn,F,1910,2022,137015,1998
Mackenzie,F,1973,2022,136615,2001
Myrtle,F,1880,2022,136470,1918
Kristina,F,1915,2022,136377,1985
Kaylee,F,1943,2022,136095,2009
Melinda,F,1880,2022,135533,1970
Deanna,F,1899,2022,134209,1970
Jordan,F,1950,2022,133881,1997
Charlene,F,1888,2022,133406,1952
Marcia,F,1880,2022,133203,1951
Katelyn,F,1970,2022,133202,1993
Viola,F,1880,2022,132300,1918
Mattie,F,1880,2022,132296,1920
Tamara,F,1917,2022,130938,1970
Nina,F,1880,2022,130915,1980
Alexa,F,1916,2022,130443,2006
Lindsay,F,1916,2022,130090,1983
Marlene,F,1904,2022,130086,1936
Gabriella,F,1890,2022,129677,2010
Riley,F,1923,2022,128118,2016
Claudia,F,1880,2022,127615,1952
Sophie,F,1880,2022,127370,2011
Jennie,F,1880,2022,126905,1917
Isabel,F,1880,2022,126778,2006
Aubrey,F,1889,2022,126620,2012
Erika,F,1908,2022,124983,1990
Angelina,F,1880,2022,123385,2005
Gwendolyn,F,1880,2022,121900,1953
Priscilla,F,1880,2022,121278,1942
Marissa,F,1936,2022,120421,1994
Tonya,F,1923,2022,120389,1972
Maggie,F,1880,2022,119980,2007
Genevieve,F,1880,2022,119504,1918
Patsy,F,1880,2022,119382,1941
Delores,F,1890,2022,117760,1932
Brooklyn,F,1972,2022,117399,2011
Kylie,F,1960,2022,117304,2003
Harper,F,1971,2022,116940,2016
Tanya,F,1914,2022,116715,1974
Alison,F,1905,2022,114894,1980
Miriam,F,1880,2022,114024,1924
Maxine,F,1884,2022,113824,1924
Miranda,F,1881,2022,113530,1995
Mae,F,1880,2022,113053,1918
Mariah,F,1880,2022,112792,1996
Ariana,F,1957,2022,112784,2014
Yolanda,F,1901,2022,112736,1969
Layla,F,1950,2022,112615,2019
Caitlin,F,1955,2022,111874,1988
Maya,F,1940,2022,111459,2006
Leona,F,1880,2022,111377,1918
Carole,F,1901,2020,110667,1942
Jocelyn,F,1900,2022,110527,2007
Vickie,F,1907,2022,110023,1956
Glenda,F,1900,2022,109152,1950
Joanna,F,1880,2022,108864,1984
Ana,F,1880,2022,107168,1991
Melody,F,1914,2022,106401,1960
Brandy,F,1942,2022,106393,1981
Makayla,F,1971,2022,106190,2008
Bailey,F,1916,2022,105973,1998
Margie,F,1880,2022,105938,1925
Dora,F,1880,2022,105703,1921
Madelyn,F,1890,2022,105579,2008
Cecilia,F,1880,2022,104661,2021
Marsha,F,1908,2022,104148,1952
Zoey,F,1967,2022,104079,2012
Hattie,F,1880,2022,102637,1918
Billie,F,1886,2022,102534,1930
Alexandria,F,1902,2022,102421,1993
Isabelle,F,1880,2022,102298,2007
Ada,F,1880,2022,102206,1918
Camila,F,1914,2022,101976,2020
Brandi,F,1949,2022,101799,1981
Aaliyah,F,1976,2022,101671,2012
Katrina,F,1895,2022,101162,1980
Kara,F,1896,2022,100958,1991
Toni,F,1907,2022,99922,1960
Bethany,F,1915,2022,99747,1987
Arianna,F,1963,2022,99593,2014
Penny,F,1882,2022,99430,1963
Sierra,F,1940,2022,99059,1998
Kay,F,1885,2022,98490,1942
Angel,F,1894,2022,98474,2002
Christy,F,1887,2022,98455,1975
Kendra,F,1936,2022,97304,1987
Terry,F,1892,2022,96924,1955
Whitney,F,1936,2022,96924,1986
Natasha,F,1934,2022,96887,1987
Meghan,F,1952,2022,96040,1985
Briana,F,1950,2022,95445,1994
Dianne,F,1911,2022,95232,1947
Jade,F,1944,2022,94730,2002
Hope,F,1880,2022,94273,2000
Elena,F,1880,2022,94252,2022
Marguerite,F,1880,2022,93795,1918
Scarlett,F,1937,2022,93708,2017
Adriana,F,1888,2022,93565,2006
Lola,F,1880,2022,93365,1919
Gianna,F,1951,2022,92309,2020
Nevaeh,F,1997,2022,91914,2007
Angelica,F,1892,2022,91845,1996
Iris,F,1880,2022,91699,2022
Jenny,F,1880,2022,91611,1977
Penelope,F,1880,2022,91327,2019
Bridget,F,1880,2022,91205,1973
Jackie,F,1899,2022,91002,1961
Felicia,F,1880,2022,90999,1986
Karla,F,1915,2022,90452,1964
Harriet,F,1880,2022,89652,1921
Bobbie,F,1883,2022,88402,1934
Geneva,F,1880,2022,88357,1924
Blanche,F,1880,2022,87390,1917
Ellie,F,1880,2022,87121,2021
Becky,F,1880,2022,86790,1959
Velma,F,1880,2022,86695,1921
Tracey,F,1923,2022,86473,1970
Susie,F,1880,2022,85479,1919
Fannie,F,1880,2022,85355,1918
Summer,F,1949,2022,85244,1998
Jacquelyn,F,1907,2022,84938,1951
Lula,F,1880,2022,84932,1921
Candace,F,1882,2022,84787,1982
Kennedy,F,1957,2022,84718,2015
Misty,F,1944,2022,84555,1977
Shelly,F,1916,2022,84347,1964
Kate,F,1880,2022,84196,2007
Kristine,F,1916,2022,84185,1970
Sherri,F,1924,2022,83635,1963
Gabriela,F,1903,2022,83071,2003
Desiree,F,1910,2022,82993,1983
Trinity,F,1921,2022,82873,2004
Peyton,F,1957,2022,82835,2009
Rosie,F,1880,2022,82665,1927
Jillian,F,1944,2022,82588,1982
Genesis,F,1964,2022,82466,2016
Rachael,F,1880,2022,82343,1990
Brittney,F,1958,2022,82083,1989
Breanna,F,1965,2022,82055,1996
Hilda,F,1880,2022,80855,1921
Skylar,F,1974,2022,80794,2015
Gracie,F,1880,2022,80157,2007
Eunice,F,1880,2022,80073,1921
Jodi,F,1940,2022,79577,1970
Rosalie,F,1880,2022,78874,1938
Aurora,F,1880,2022,78870,2022
Sheryl,F,1921,2022,78773,1957
Monique,F,1909,2022,78642,1980
Antoinette,F,1880,2022,78555,1924
Lynda,F,1882,2022,77921,1947
Mamie,F,1880,2022,77844,1919
Natalia,F,1890,2022,77835,2006
Aria,F,1900,2022,77438,2018
Casey,F,1921,2022,77386,1987
Kristi,F,1940,2022,76450,1971
Bella,F,1880,2022,76383,2010
Meredith,F,1895,2022,75907,1980
Ariel,F,1892,2022,75621,1991
Bianca,F,1905,2022,75606,1991
Janie,F,1880,2022,75153,1947
Rebekah,F,1883,2022,74899,1996
Krystal,F,1946,2022,74881,1985
Kelli,F,1945,2022,74835,1970
Valeria,F,1881,2022,74463,2008
Krista,F,1937,2022,73600,1986
Irma,F,1880,2022,73583,1920
Beulah,F,1880,2022,73185,1916
Belinda,F,1889,2022,72612,1961
Shelley,F,1892,2022,72554,1964
Camille,F,1880,2022,71922,2012
Lila,F,1880,2022,71915,2010
Opal,F,1880,2022,71458,1918
Elise,F,1880,2022,71391,2012
Kristy,F,1941,2022,70444,1978
Faye,F,1880,2022,70377,1943
Alberta,F,1880,2022,70337,1919
Serenity,F,1972,2022,70211,2013
Adeline,F,1880,2022,70074,2016
Ramona,F,1881,2022,69769,1928
Cheyenne,F,1946,2022,69754,1996
Flora,F,1880,2022,69597,1920
Della,F,1880,2022,69300,1917
Jeannette,F,1880,2022,69182,1917
Verna,F,1880,2022,68984,1918
Sandy,F,1914,2022,68894,1960
Mila,F,1881,2022,68210,2018
Candice,F,1925,2022,67908,1982
Inez,F,1880,2022,67907,1920
Adrienne,F,1880,2022,67905,1983
Ivy,F,1880,2022,67090,2022
Josie,F,1880,2022,66876,2022
Jada,F,1920,2022,66749,2005
Luna,F,1880,2022,66492,2022
Guadalupe,F,1880,2022,66231,1997
Sonia,F,1895,2022,66219,1970
Liliana,F,1950,2022,65974,2018
Carly,F,1951,2022,65537,1995
Sonya,F,1905,2022,65465,1967
Marianne,F,1886,2022,65206,1957
Daniela,F,1947,2022,65120,2007
Callie,F,1880,2022,65050,2014
Marcella,F,1880,2022,64866,1922
Annabelle,F,1880,2022,64787,2014
Angie,F,1880,2022,64370,1975
Juliana,F,1881,2022,64000,2007
Yvette,F,1898,2022,63675,1967
Nichole,F,1942,2022,63626,1985
Kendall,F,1929,2022,63608,2012
Eliza,F,1880,2022,63476,2021
Lilly,F,1880,2022,62988,2010
Mckenzie,F,1975,2022,62888,2000
Robyn,F,1921,2022,62855,1964
Maryann,F,1880,2022,62633,1943
Myra,F,1880,2022,62523,1958
Alana,F,1930,2022,62463,2007
Patty,F,1880,2021,62442,1959
Rylee,F,1980,2022,62267,2010
Lee,F,1880,2022,62226,1956
Eloise,F,1880,2022,62045,2022
Lynne,F,1907,2022,61935,1962
Olive,F,1880,2022,61869,2022
Olga,F,1880,2022,61706,1918
Reagan,F,1956,2022,61437,2016
Gayle,F,1891,2022,61346,1951
Celeste,F,1881,2022,61243,2004
Abby,F,1880,2022,60508,2003
Sheri,F,1928,2022,60446,1963
Karina,F,1956,2022,60346,1995
Mya,F,1954,2022,59788,2009
Kari,F,1934,2022,59378,1975
Jordyn,F,1979,2022,59174,2010
Cassidy,F,1969,2022,59001,1999
Roxanne,F,1906,2022,58996,1954
Cecelia,F,1880,2022,58789,1918
Tabitha,F,1880,2022,58728,1978
Payton,F,1966,2022,57484,2009
Kaitlin,F,1971,2022,57258,1995
Piper,F,1951,2022,56765,2015
Mallory,F,1938,2022,56726,1986
Alisha,F,1948,2022,56399,1989
Dianna,F,1916,2022,56067,1957
Selena,F,1880,2022,56065,1995
Eliana,F,1961,2022,56021,2022
Jody,F,1919,2022,55791,1958
Janelle,F,1912,2022,55742,1979
Celia,F,1880,2022,55564,1915
Mikayla,F,1970,2022,55476,1998
Lana,F,1885,2022,55089,1948
Estelle,F,1880,2022,55024,1915
Emilia,F,1880,2022,55003,2021
Erma,F,1880,2022,54884,1920
Muriel,F,1880,2022,54775,1922
Jan,F,1911,2021,54531,1956
Paisley,F,1966,2022,54449,2015
Bernadette,F,1880,2022,54349,1958
Aimee,F,1880,2022,54241,1977
Delilah,F,1880,2022,54155,2022
Gretchen,F,1882,2022,53660,1973
Vicky,F,1912,2022,53445,1957
Johanna,F,1880,2022,53231,1984
Kiara,F,1968,2022,53097,1999
Mable,F,1880,2022,53040,1922
Kirsten,F,1937,2022,53027,1991
Allyson,F,1945,2022,52984,1998
Nadine,F,1887,2022,52975,1958
Tessa,F,1891,2022,52903,2007
Cara,F,1882,2022,52769,1985
Lacey,F,1888,2022,52643,1987
Michaela,F,1921,2022,52444,1997
Alejandra,F,1900,2022,52435,1994
Caitlyn,F,1968,2022,52337,1998
Traci,F,1945,2022,52157,1970
Lora,F,1880,2022,52084,1963
Cristina,F,1906,2022,51965,1990
Leila,F,1880,2022,51739,2010
Anastasia,F,1880,2022,51650,2018
Allie,F,1880,2022,51535,2010
Valentina,F,1897,2022,51203,2022
Lucia,F,1880,2022,51174,2022
Henrietta,F,1880,2022,51114,1918
Rosemarie,F,1896,2022,51081,1936
Willow,F,1890,2022,50752,2021
Hayley,F,1960,2022,50717,1993
Kellie,F,1913,2022,50698,1969
Dominique,F,1949,2022,50596,1985
Jaime,F,1937,2022,49956,1976
Raquel,F,1900,2022,49945,1970
Sallie,F,1880,2022,49885,1916
Julianna,F,1900,2022,49662,2006
Jaclyn,F,1923,2022,49425,1988
Nettie,F,1880,2022,49379,1918
Kylee,F,1965,2022,49302,2008
Corinne,F,1880,2022,49155,1978
Johnnie,F,1880,2022,49080,1928
Esmeralda,F,1911,2022,48926,1998
May,F,1880,2022,48888,1919
Janis,F,1909,2022,48808,1947
Betsy,F,1880,2022,48725,1959
Kerry,F,1920,2022,48631,1971
Marisa,F,1934,2022,48589,1995
Shelia,F,1915,2022,47773,1959
Giselle,F,1949,2022,47607,2007
Mollie,F,1880,2022,47539,1915
Elisabeth,F,1880,2022,47172,2001
Adrianna,F,1910,2022,47163,2007
Ashlyn,F,1963,2022,47129,2005
Eula,F,1880,2022,47124,1919
Aubree,F,1972,2022,47079,2013
Lottie,F,1880,2022,46991,1916
Rochelle,F,1900,2022,46902,1969
Paulette,F,1907,2022,46653,1948
Alaina,F,1946,2022,46376,2011
Doreen,F,1900,2022,46363,1956
Cassie,F,1880,2022,46087,1982
Ginger,F,1913,2022,46076,1971
Kelley,F,1919,2022,46049,1968
Khloe,F,1989,2022,45976,2010
Laurel,F,1883,2022,45955,1956
Christie,F,1881,2022,45946,1975
Mercedes,F,1880,2022,45732,1991
Carolina,F,1880,2022,45731,2004
Leilani,F,1917,2022,45668,2022
Maude,F,1880,2022,45635,1888
Jana,F,1921,2022,45626,1961
Mona,F,1880,2022,45541,1957
Latoya,F,1960,2022,45532,1984
Elisa,F,1880,2022,45530,2012
Shawna,F,1941,2022,45480,1977
Alexia,F,1916,2022,45283,2002
Aliyah,F,1971,2022,45126,2011
Addie,F,1880,2022,44803,1920
Nadia,F,1911,2022,44782,2005
Athena,F,1902,2022,44773,2022
Serena,F,1880,2022,44726,2000
Patti,F,1888,2018,44705,1958
Jasmin,F,1951,2022,44566,2006
Lorena,F,1880,2022,44420,1980
Winifred,F,1880,2022,44292,1918
Quinn,F,1948,2022,44282,2016
Jayla,F,1968,2022,44174,2006
Dixie,F,1880,2022,44147,1938
Ernestine,F,1880,2021,44031,1928
Effie,F,1880,2022,44002,1919
Teri,F,1920,2022,43935,1960
Madeleine,F,1881,2022,43636,1998
Brielle,F,1972,2022,43604,2018
Makenzie,F,1975,2022,43557,2011
Ashlee,F,1966,2022,43413,1987
Lynette,F,1897,2022,43194,1965
Jazmin,F,1962,2022,43110,2006
Darla,F,1924,2022,42941,1963
Eden,F,1943,2022,42921,2022
Laverne,F,1885,2003,42869,1924
Lela,F,1880,2022,42748,1921
Leticia,F,1916,2022,42619,1980
Freda,F,1880,2022,42470,1918
Raven,F,1941,2022,42459,1993
Etta,F,1880,2022,42432,1920
Mandy,F,1880,2022,42359,1978
Mindy,F,1940,2022,42326,1979
Mariana,F,1888,2022,42109,2005
Kyla,F,1940,2022,42065,2004
London,F,1963,2022,41822,2013
Mckenna,F,1972,2022,41764,2002
Meagan,F,1954,2022,41523,1990
Isla,F,1886,2022,41424,2021
Delaney,F,1939,2022,41420,2004
Ollie,F,1880,2022,41367,1919
Adele,F,1880,2022,41301,1918
Estella,F,1880,2022,41229,1921
Katharine,F,1880,2022,41140,1982
Kinsley,F,1978,2022,41126,2017
Jewel,F,1880,2022,40983,1920
Shari,F,1927,2022,40909,1961
Laila,F,1884,2022,40871,2008
Alondra,F,1959,2022,40778,2005
Nova,F,1885,2022,40650,2022
Lyla,F,1884,2022,40562,2022
Hanna,F,1880,2022,40219,2000
Trisha,F,1934,2022,40155,1979
Leigh,F,1912,2022,40128,1969
Pat,F,1897,1991,40121,1941
Tricia,F,1939,2022,40114,1971
Noelle,F,1927,2022,40018,2021
Nikki,F,1925,2022,39959,1972
Margarita,F,1880,2022,39881,1957
Reese,F,1924,2022,39869,2012
Clarissa,F,1880,2022,39848,1995
Hadley,F,1964,2022,39616,2014
Daphne,F,1886,2022,39599,1962
Essie,F,1880,2022,39518,1921
Sonja,F,1906,2022,39349,1968
Lorene,F,1880,2022,39311,1920
Lizzie,F,1880,2022,39212,1919
Ora,F,1880,2022,39144,1919
Yesenia,F,1966,2022,39087,1987
Stacie,F,1900,2022,39078,1971
Alina,F,1892,2022,39066,2022
Ebony,F,1950,2022,38930,1982
Rena,F,1880,2022,38887,1962
Kira,F,1938,2022,38600,2005
Marla,F,1912,2022,38520,1955
Phoebe,F,1880,2022,38512,2022
Bettie,F,1880,2022,38361,1924
Kristie,F,1940,2022,38345,1974
Alissa,F,1948,2022,38228,1998
Amaya,F,1972,2022,38179,2018
Helena,F,1880,2022,38118,2018
Iva,F,1880,2022,38080,1918
Justine,F,1881,2022,38073,1988
Lucinda,F,1880,2022,38050,1957
Dakota,F,1915,2022,38042,2006
Marina,F,1886,2022,38026,1994
Kimberley,F,1941,2022,37975,1967
Tami,F,1942,2022,37896,1959
Bonita,F,1888,2022,37800,1950
Jazmine,F,1971,2022,37549,2006
Goldie,F,1880,2022,37205,1915
Fern,F,1880,2022,37135,1918
Kyra,F,1919,2022,37132,2005
Sasha,F,1956,2022,37123,1988
Stefanie,F,1911,2022,37085,1983
Millie,F,1880,2022,37050,2022
Kerri,F,1945,2022,36975,1975
Delia,F,1880,2022,36874,1957
Tori,F,1945,2022,36591,1994
Aileen,F,1880,2022,36547,2009
Angeline,F,1880,2022,36367,1921
Francine,F,1900,2022,36188,1951
Fatima,F,1919,2022,36131,2006
Jeannie,F,1882,2022,36048,1957
Cheri,F,1925,2021,36045,1960
Brooklynn,F,1975,2022,35996,2011
Lenora,F,1880,2022,35731,1924
Frankie,F,1880,2022,35524,1943
Tasha,F,1947,2022,35479,1980
Reba,F,1880,2022,35377,1925
Tammie,F,1927,2017,35369,1963
Therese,F,1880,2022,35349,1959
Charity,F,1880,2022,35197,1975
Sherrie,F,1921,2022,35138,1962
Britney,F,1968,2022,35065,1989
Matilda,F,1880,2022,34940,2022
Bette,F,1896,2022,34861,1924
Melba,F,1893,2022,34858,1924
Lucile,F,1880,2022,34783,1917
Jolene,F,1918,2022,34741,1974
Deloris,F,1899,2022,34681,1947
Juliet,F,1880,2022,34632,2016
Tatiana,F,1915,2022,34575,1999
Hallie,F,1880,2022,34561,2022
Juliette,F,1881,2022,34488,2022
